,player_name,team,runs,no_of_matches,no_of_innings,no_of_time_notout,highest_score,average,no_of_ballsfaced,strikerate,no_of_century,no_of_halfcentury,no_of_fours,no_of_sixes,runs_per_match,boundary_runs,boundary_percentage
91,Jake Fraser - McGurk,DC,55,6,6,0,38,9.17,52,105.76,0,0,7,2,9.166666666666666,40,72.72727272727273
92,Rahul Tripathi,CSK,55,5,5,0,23,11.00,57,96.49,0,0,6,1,11.0,30,54.54545454545454
93,Glenn Maxwell,PBKS,48,7,6,0,30,8.00,49,97.95,0,0,5,1,6.857142857142857,26,54.166666666666664
94,Corbin Bosch,MI,47,2,2,0,27,23.50,32,146.87,0,0,3,3,23.5,30,63.829787234042556
95,Ramandeep Singh,KKR,47,11,7,2,22,9.40,35,134.28,0,0,1,4,4.2727272727272725,28,59.57446808510638
96,Rashid Khan,GT,40,15,8,3,12,8.00,28,142.85,0,0,2,3,2.6666666666666665,26,65.0
97,Mitchell Santner,MI,40,13,8,6,18*,20.00,33,121.21,0,0,2,3,3.076923076923077,26,65.0
98,Deepak Chahar,MI,37,14,4,3,28*,37.00,25,148.0,0,0,3,2,2.642857142857143,24,64.86486486486487
99,Ravichandran Ashwin,CSK,33,9,4,0,13,8.25,30,110.0,0,0,3,1,3.6666666666666665,18,54.54545454545454
100,Deepak Hooda,CSK,31,7,5,0,22,6.20,41,75.6,0,0,2,1,4.428571428571429,14,45.16129032258064
101,Mohd Arshad Khan,GT,23,9,5,3,20,11.50,19,121.05,0,0,0,3,2.5555555555555554,18,78.26086956521739
102,Sediqullah Atal,DC,22,1,1,0,22,22.00,16,137.5,0,0,0,2,22.0,12,54.54545454545454
103,Avesh Khan,LSG,21,13,4,3,19*,21.00,12,175.0,0,0,3,1,1.6153846153846154,18,85.71428571428571
104,Harshal Patel,SRH,21,13,4,2,12*,10.50,26,80.76,0,0,0,0,1.6153846153846154,0,0.0
105,Kusal Mendis,GT,20,1,1,0,20,20.00,10,200.0,0,0,1,2,20.0,16,80.0
106,Shardul Thakur,LSG,18,10,5,2,6,6.00,12,150.0,0,0,3,0,1.8,12,66.66666666666666
107,Kuldeep Yadav,DC,18,14,5,2,7,6.00,16,112.5,0,0,2,0,1.2857142857142858,8,44.44444444444444
